,Unnamed: 0,bpm,time_signature,instrument,genre,key,min_vel,max_vel,rhythm,num_measures,file_name,track_role,chord_progression
70,70,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['C', 'F', 'G', 'F', 'F', 'F', 'C', 'C']"
71,71,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['Gm', 'Dm', 'F', 'C', 'Am', 'F', 'Dm', 'C']"
72,72,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['Em', 'F', 'F', 'Am', 'F', 'Dm', 'Dm', 'C']"
73,73,50,4/4,acoustic_piano,newage,aminor,71,72,standard,4,commu00025_0_sample0.mid,bass,"['D', 'E', 'D', 'C']"
74,74,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['F', 'Dm', 'Em', 'F']"
75,75,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Am', 'Dm', 'C', 'F']"
76,76,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Dm', 'Am', 'A#', 'C']"
77,77,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['F', 'G', 'Em', 'F']"
78,78,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Am', 'C', 'G', 'F']"
79,79,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Am', 'D', 'Em', 'C']"
80,80,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Am', 'Dm', 'Am', 'F']"
81,81,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Am', 'D', 'G', 'C']"
82,82,150,4/4,string_violin,cinematic,aminor,123,127,standard,8,commu00027.mid,riff,"['Am', 'Am', 'E', 'E', 'F', 'F', 'E', 'E']"
83,83,110,4/4,acoustic_piano,cinematic,aminor,51,52,standard,8,commu00028.mid,accompaniment,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']"
84,84,110,4/4,string_ensemble,cinematic,aminor,113,122,triplet,8,commu00029.mid,riff,"['Am', 'E', 'Am', 'E', 'Am', 'E', 'F', 'E']"
85,85,110,4/4,acoustic_piano,cinematic,aminor,53,62,triplet,8,commu00030.mid,accompaniment,"['Am', 'D', 'Am', 'D', 'Am', 'D', 'E', 'E']"
86,86,110,4/4,acoustic_piano,cinematic,aminor,81,84,standard,8,commu00031.mid,accompaniment,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']"
95,95,120,4/4,string_ensemble,cinematic,cmajor,121,122,standard,4,commu00033_0_sample0.mid,riff,"['Dm', 'F', 'C', 'G']"
96,96,120,4/4,string_violin,cinematic,cmajor,115,116,standard,8,commu00034.mid,riff,"['C', 'G', 'Am', 'F', 'C', 'Em', 'Am', 'F']"
97,97,120,4/4,string_ensemble,cinematic,cmajor,115,122,standard,4,commu00035.mid,accompaniment,"['G', 'D', 'Em', 'C']"
98,98,70,4/4,acoustic_piano,newage,cmajor,21,24,standard,8,commu00036.mid,accompaniment,"['Am', 'Em', 'F', 'Em', 'Am', 'Em', 'F', 'E']"
99,99,100,4/4,celesta,cinematic,cmajor,61,62,standard,8,commu00037.mid,main_melody,"['C', 'A#', 'C', 'Gm', 'D#', 'F', 'C', 'Gm']"
101,101,100,4/4,celesta,cinematic,cmajor,61,62,standard,8,commu00037.mid,main_melody,"['Gm', 'A#', 'C', 'Gm', 'D#', 'F', 'C', 'Gm']"
103,103,100,4/4,string_ensemble,newage,cmajor,99,100,standard,4,commu00038.mid,accompaniment,"['F', 'Em', 'F', 'Em']"
108,108,100,4/4,string_ensemble,cinematic,aminor,101,102,standard,8,commu00039.mid,main_melody,"['A', 'G', 'A', 'Em', 'C', 'D', 'A', 'Em']"
110,110,110,4/4,flute,cinematic,aminor,90,98,standard,8,commu00040.mid,main_melody,"['Am', 'Em', 'F', 'Em', 'Am', 'Em', 'F', 'E']"
113,113,110,4/4,flute,cinematic,aminor,90,98,standard,8,commu00040.mid,main_melody,"['Am', 'E', 'Am', 'E', 'Am', 'E', 'F', 'E']"
114,114,110,4/4,flute,cinematic,aminor,90,98,standard,8,commu00040.mid,main_melody,"['Am', 'G', 'F', 'G', 'Am', 'Em', 'F', 'E']"
115,115,110,4/4,flute,cinematic,aminor,90,98,standard,8,commu00040.mid,main_melody,"['Am', 'Am', 'Am', 'E', 'Am', 'E', 'F', 'E']"
116,116,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['Am', 'G', 'F', 'C', 'Am', 'Em', 'F', 'Em']"
117,117,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['Am', 'Em', 'F', 'C', 'Am', 'Em', 'F', 'Em']"
118,118,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['C', 'Dm', 'C', 'F', 'C', 'F', 'C', 'F']"
119,119,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['Am', 'Dm', 'C', 'F', 'C', 'F', 'C', 'F']"
120,120,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['C', 'G', 'C', 'G', 'C', 'G', 'C', 'G']"
121,121,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']"
122,122,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['F', 'Dm', 'C', 'C', 'Am', 'Bm', 'C', 'C']"
124,124,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['Em', 'F', 'Em', 'F', 'Em', 'F', 'C', 'C']"
126,126,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['C', 'Em', 'F', 'C', 'Dm', 'C', 'F', 'C']"
127,127,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['Am', 'G', 'F', 'C', 'F', 'C', 'F', 'C']"
128,128,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['Am', 'Em', 'F', 'F', 'Am', 'Em', 'F', 'F']"
129,129,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['F', 'C', 'Dm', 'Am', 'A#', 'C', 'Dm', 'Am']"
130,130,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['C', 'G', 'F', 'C', 'F', 'C', 'F', 'C']"
133,133,75,4/4,string_cello,cinematic,cmajor,73,74,standard,8,commu00043.mid,main_melody,"['C', 'F', 'Am', 'G', 'C', 'C', 'F', 'G']"
134,134,75,4/4,string_cello,cinematic,cmajor,73,74,standard,8,commu00043.mid,main_melody,"['C', 'Dm', 'Am', 'A#', 'Am', 'A#', 'Am', 'A#']"
139,139,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['Em', 'F', 'Em', 'C']"
140,140,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['C', 'C', 'Am', 'G']"
141,141,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['C', 'C', 'Em', 'G']"
142,142,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['Am', 'C', 'F', 'G']"
143,143,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['Dm', 'C', 'C', 'C']"
144,144,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['C', 'C', 'C', 'G']"
145,145,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['Am', 'G', 'C', 'G']"
146,146,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['Em', 'C', 'Em', 'G']"
147,147,100,4/4,choir,cinematic,aminor,75,76,standard,8,commu00045.mid,pad,"['D', 'C', 'D', 'Am', 'F', 'G', 'D', 'Am']"
148,148,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00046.mid,accompaniment,"['G', 'Em', 'C', 'D', 'C', 'G', 'Em', 'D']"
157,157,45,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00048.mid,accompaniment,"['G', 'C', 'G', 'C', 'Em', 'D', 'C', 'C']"
158,158,60,4/4,acoustic_piano,cinematic,aminor,51,52,standard,4,commu00049.mid,riff,"['Am', 'Am', 'F', 'E']"
159,159,110,4/4,string_ensemble,cinematic,cmajor,95,96,standard,8,commu00050.mid,bass,"['Gm', 'C', 'Gm', 'C', 'Gm', 'C', 'D', 'D']"
160,160,35,4/4,acoustic_piano,newage,cmajor,23,30,standard,4,commu00051.mid,main_melody,"['F', 'C', 'C', 'A#']"
161,161,35,4/4,acoustic_piano,newage,cmajor,23,30,standard,4,commu00051.mid,main_melody,"['F', 'Am', 'Em', 'A#']"
162,162,35,4/4,acoustic_piano,newage,cmajor,23,30,standard,4,commu00051.mid,main_melody,"['C', 'Am', 'C', 'A#']"
163,163,35,4/4,acoustic_piano,newage,cmajor,23,30,standard,4,commu00051.mid,main_melody,"['Dm', 'Am', 'F', 'A#']"
164,164,35,4/4,acoustic_piano,newage,cmajor,23,30,standard,4,commu00051.mid,main_melody,"['F', 'Am', 'C', 'A#']"
166,166,150,4/4,string_ensemble,cinematic,aminor,71,95,standard,7,commu00052.mid,sub_melody,"['Am', 'Am', 'Am', 'Am', 'E', 'E', 'E', 'E']"
170,170,150,4/4,string_ensemble,cinematic,aminor,71,95,standard,7,commu00052.mid,sub_melody,"['Am', 'G', 'F', 'F', 'E', 'E', 'E', 'E']"
173,173,110,4/4,acoustic_piano,cinematic,aminor,53,62,standard,8,commu00053.mid,accompaniment,"['Am', 'D', 'Am', 'D', 'Am', 'D', 'E', 'E']"
174,174,80,4/4,acoustic_piano,newage,cmajor,23,24,standard,8,commu00054.mid,accompaniment,"['C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em']"
175,175,65,4/4,acoustic_piano,newage,aminor,34,40,standard,8,commu00055.mid,main_melody,"['F', 'Em', 'F', 'Em', 'F', 'Em', 'F', 'C']"
176,176,65,4/4,acoustic_piano,newage,aminor,34,40,standard,8,commu00055.mid,main_melody,"['Am', 'Em', 'F', 'Em', 'F', 'Em', 'F', 'C']"
177,177,65,4/4,acoustic_piano,newage,aminor,34,40,standard,8,commu00055.mid,main_melody,"['Am', 'G', 'F', 'C', 'F', 'G', 'F', 'C']"
180,180,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['Am', 'G', 'F', 'F', 'Am', 'Em', 'F', 'Em']"
181,181,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['C', 'F', 'Am', 'F', 'Am', 'Em', 'F', 'Em']"
182,182,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['C', 'F', 'C', 'F', 'Am', 'G', 'F', 'G']"
183,183,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['Am', 'C', 'F', 'F', 'Am', 'Em', 'F', 'Em']"
184,184,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['C', 'Dm', 'Am', 'F', 'Am', 'Em', 'F', 'Em']"
185,185,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['Am', 'F', 'C', 'F', 'Am', 'G', 'F', 'G']"
186,186,65,4/4,acoustic_piano,newage,cmajor,24,28,standard,4,commu00057.mid,accompaniment,"['F', 'C', 'G#', 'F']"
187,187,80,4/4,acoustic_piano,newage,cmajor,22,30,standard,4,commu00058_0_sample0.mid,accompaniment,"['C', 'Am', 'F', 'G']"
188,188,120,4/4,string_ensemble,cinematic,aminor,121,127,standard,4,commu00059_0_sample0.mid,riff,"['C', 'F', 'C', 'G']"
190,190,110,4/4,celesta,cinematic,aminor,71,72,triplet,8,commu00060.mid,main_melody,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'D']"
192,192,120,4/4,acoustic_piano,cinematic,aminor,53,62,standard,4,commu00061.mid,riff,"['Em', 'Am', 'Em', 'D']"
193,193,150,4/4,string_violin,cinematic,aminor,121,122,standard,8,commu00062.mid,riff,"['Am', 'Am', 'E', 'E', 'F', 'F', 'E', 'E']"
201,201,120,4/4,string_ensemble,cinematic,cmajor,111,114,standard,8,commu00064.mid,accompaniment,"['Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'G']"
202,202,110,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00065.mid,main_melody,"['F', 'E', 'Am', 'E', 'Am', 'E', 'F', 'E']"
203,203,110,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00065.mid,main_melody,"['F', 'E', 'Dm', 'E', 'Dm', 'E', 'F', 'E']"
205,205,110,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00065.mid,main_melody,"['Dm', 'E', 'F', 'E', 'Dm', 'E', 'F', 'E']"
209,209,110,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00065.mid,main_melody,"['Am', 'Em', 'F', 'E', 'Am', 'G', 'F', 'E']"
210,210,120,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00066.mid,main_melody,"['Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'G']"
212,212,120,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00066.mid,main_melody,"['Dm', 'F', 'C', 'G', 'Am', 'F', 'C', 'G']"
213,213,120,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00066.mid,main_melody,"['Em', 'F', 'C', 'G', 'Am', 'F', 'C', 'G']"
214,214,120,4/4,string_ensemble,cinematic,cmajor,101,102,standard,4,commu00067_0_sample0.mid,pad,"['Dm', 'F', 'C', 'G']"
215,215,35,4/4,acoustic_piano,newage,cmajor,21,22,standard,8,commu00068.mid,main_melody,"['G', 'C', 'G', 'C', 'Em', 'D', 'C', 'C']"
216,216,35,4/4,acoustic_piano,newage,cmajor,21,22,standard,8,commu00068.mid,main_melody,"['Dm', 'C', 'G', 'C', 'Em', 'D', 'C', 'C']"
217,217,35,4/4,acoustic_piano,newage,cmajor,21,22,standard,8,commu00068.mid,main_melody,"['Am', 'G', 'G', 'C', 'Em', 'D', 'C', 'C']"
218,218,35,4/4,acoustic_piano,newage,cmajor,21,22,standard,8,commu00068.mid,main_melody,"['Am', 'C', 'G', 'C', 'Em', 'D', 'C', 'C']"
219,219,135,4/4,string_cello,cinematic,cmajor,105,108,standard,8,commu00069.mid,sub_melody,"['F', 'Am', 'Em', 'F', 'C', 'C', 'G', 'G']"
220,220,135,4/4,string_cello,cinematic,cmajor,105,108,standard,8,commu00069.mid,sub_melody,"['Am', 'Em', 'F', 'F', 'C', 'C', 'G', 'G']"
224,224,135,4/4,string_cello,cinematic,cmajor,105,108,standard,8,commu00069.mid,sub_melody,"['G', 'Am', 'Am', 'G', 'G', 'Em', 'G', 'C']"
226,226,135,4/4,string_cello,cinematic,cmajor,105,108,standard,8,commu00069.mid,sub_melody,"['C', 'Em', 'Am', 'Em', 'C', 'G', 'G', 'G']"
227,227,135,4/4,string_cello,cinematic,cmajor,105,108,standard,8,commu00069.mid,sub_melody,"['Em', 'Bm', 'C', 'C', 'Em', 'G', 'G', 'G']"
228,228,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['C', 'Em', 'Am', 'Em', 'C', 'F', 'Am', 'D', 'Am', 'D', 'E', 'E']"
229,229,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['Em', 'Bm', 'C', 'C', 'Em', 'Bm', 'C', 'Bm', 'C', 'Bm', 'C', 'Bm']"
230,230,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['B', 'B', 'B', 'B', 'B', 'B', 'F#', 'E', 'E', 'B', 'B', 'G#m']"
231,231,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['F', 'Am', 'Em', 'F', 'F', 'Am', 'Em', 'E', 'E', 'E', 'E', 'E']"
232,232,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['Gm', 'Dm', 'F', 'C', 'C', 'Am', 'Bm', 'Bm', 'Em', 'A', 'D', 'D']"
233,233,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['Am', 'Em', 'F', 'F', 'Am', 'Em', 'F', 'E', 'Am', 'D', 'Dm', 'G']"
234,234,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['G', 'Am', 'Am', 'G', 'G', 'Em', 'D', 'E', 'C', 'F#m', 'D', 'Bm']"
235,235,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['Bm', 'G', 'E', 'Em', 'D', 'D', 'F#m', 'E', 'A', 'C#m', 'G#m', 'A']"
236,236,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['C', 'F', 'Am', 'Am', 'Em', 'F', 'Em', 'E', 'Am', 'D', 'Dm', 'G']"
237,237,120,4/4,acoustic_piano,cinematic,aminor,59,60,standard,8,commu00071.mid,riff,"['C', 'C', 'C', 'F', 'Am', 'Am', 'G', 'G']"
238,238,100,4/4,acoustic_piano,newage,aminor,51,52,standard,4,commu00072.mid,accompaniment,"['C', 'Bm', 'C', 'Bm']"
239,239,110,4/4,acoustic_piano,cinematic,aminor,81,96,standard,8,commu00073.mid,accompaniment,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']"
240,240,135,4/4,string_viola,cinematic,cmajor,105,106,standard,8,commu00074.mid,riff,"['C', 'G', 'Am', 'F', 'C', 'Em', 'Am', 'F']"
241,241,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00075.mid,main_melody,"['C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G']"
242,242,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00075.mid,main_melody,"['C', 'Dm', 'Am', 'A#', 'Am', 'A#', 'Am', 'A#']"
243,243,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00075.mid,main_melody,"['Am', 'Dm', 'C', 'G', 'Am', 'Dm', 'Am', 'G']"
245,245,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00075.mid,main_melody,"['Am', 'Em', 'C', 'G', 'Am', 'Dm', 'Am', 'G']"
246,246,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00075.mid,main_melody,"['Am', 'Dm', 'Am', 'G', 'C', 'F', 'Am', 'G']"
247,247,110,4/4,choir,cinematic,aminor,45,46,standard,8,commu00076.mid,pad,"['Am', 'E', 'Am', 'E', 'Am', 'E', 'F', 'E']"
248,248,80,4/4,acoustic_piano,newage,cmajor,21,30,standard,8,commu00077.mid,main_melody,"['G', 'C', 'G', 'C', 'Em', 'D', 'C', 'D']"
249,249,80,4/4,acoustic_piano,newage,cmajor,21,30,standard,8,commu00077.mid,main_melody,"['Em', 'C', 'G', 'C', 'Em', 'D', 'C', 'D']"
250,250,80,4/4,acoustic_piano,newage,cmajor,21,30,standard,8,commu00077.mid,main_melody,"['Am', 'C', 'G', 'C', 'Em', 'D', 'C', 'D']"
