,Unnamed: 0.1,bpm,time_signature,instrument,genre,key,min_vel,max_vel,rhythm,num_measures,file_name,track_role,chord_progression,beat_type
63,81.0,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Am', 'D', 'G', 'C']",
64,82.0,150,4/4,string_violin,cinematic,aminor,123,127,standard,8,commu00027.mid,riff,"['Am', 'Am', 'E', 'E', 'F', 'F', 'E', 'E']",
65,83.0,110,4/4,acoustic_piano,cinematic,aminor,51,52,standard,8,commu00028.mid,accompaniment,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']",
66,84.0,110,4/4,string_ensemble,cinematic,aminor,113,122,triplet,8,commu00029.mid,riff,"['Am', 'E', 'Am', 'E', 'Am', 'E', 'F', 'E']",
67,85.0,110,4/4,acoustic_piano,cinematic,aminor,53,62,triplet,8,commu00030.mid,accompaniment,"['Am', 'D', 'Am', 'D', 'Am', 'D', 'E', 'E']",
68,86.0,110,4/4,acoustic_piano,cinematic,aminor,81,84,standard,8,commu00031.mid,accompaniment,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']",
69,95.0,120,4/4,string_ensemble,cinematic,cmajor,121,122,standard,4,commu00033_0_sample0.mid,riff,"['Dm', 'F', 'C', 'G']",
70,96.0,120,4/4,string_violin,cinematic,cmajor,115,116,standard,8,commu00034.mid,riff,"['C', 'G', 'Am', 'F', 'C', 'Em', 'Am', 'F']",
71,97.0,120,4/4,string_ensemble,cinematic,cmajor,115,122,standard,4,commu00035.mid,accompaniment,"['G', 'D', 'Em', 'C']",
72,98.0,70,4/4,acoustic_piano,newage,cmajor,21,24,standard,8,commu00036.mid,accompaniment,"['Am', 'Em', 'F', 'Em', 'Am', 'Em', 'F', 'E']",
73,99.0,100,4/4,celesta,cinematic,cmajor,61,62,standard,8,commu00037.mid,main_melody,"['C', 'A#', 'C', 'Gm', 'D#', 'F', 'C', 'Gm']",
74,101.0,100,4/4,celesta,cinematic,cmajor,61,62,standard,8,commu00037.mid,main_melody,"['Gm', 'A#', 'C', 'Gm', 'D#', 'F', 'C', 'Gm']",
75,103.0,100,4/4,string_ensemble,newage,cmajor,99,100,standard,4,commu00038.mid,accompaniment,"['F', 'Em', 'F', 'Em']",
76,108.0,100,4/4,string_ensemble,cinematic,aminor,101,102,standard,8,commu00039.mid,main_melody,"['A', 'G', 'A', 'Em', 'C', 'D', 'A', 'Em']",
77,110.0,110,4/4,flute,cinematic,aminor,90,98,standard,8,commu00040.mid,main_melody,"['Am', 'Em', 'F', 'Em', 'Am', 'Em', 'F', 'E']",
78,113.0,110,4/4,flute,cinematic,aminor,90,98,standard,8,commu00040.mid,main_melody,"['Am', 'E', 'Am', 'E', 'Am', 'E', 'F', 'E']",
79,114.0,110,4/4,flute,cinematic,aminor,90,98,standard,8,commu00040.mid,main_melody,"['Am', 'G', 'F', 'G', 'Am', 'Em', 'F', 'E']",
80,115.0,110,4/4,flute,cinematic,aminor,90,98,standard,8,commu00040.mid,main_melody,"['Am', 'Am', 'Am', 'E', 'Am', 'E', 'F', 'E']",
81,116.0,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['Am', 'G', 'F', 'C', 'Am', 'Em', 'F', 'Em']",
82,117.0,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['Am', 'Em', 'F', 'C', 'Am', 'Em', 'F', 'Em']",
83,118.0,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['C', 'Dm', 'C', 'F', 'C', 'F', 'C', 'F']",
84,119.0,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['Am', 'Dm', 'C', 'F', 'C', 'F', 'C', 'F']",
85,120.0,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['C', 'G', 'C', 'G', 'C', 'G', 'C', 'G']",
86,121.0,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']",
87,122.0,80,4/4,acoustic_piano,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['F', 'Dm', 'C', 'C', 'Am', 'Bm', 'C', 'C']",
88,124.0,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['Em', 'F', 'Em', 'F', 'Em', 'F', 'C', 'C']",
89,126.0,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['C', 'Em', 'F', 'C', 'Dm', 'C', 'F', 'C']",
90,127.0,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['Am', 'G', 'F', 'C', 'F', 'C', 'F', 'C']",
91,128.0,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['Am', 'Em', 'F', 'F', 'Am', 'Em', 'F', 'F']",
92,129.0,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['F', 'C', 'Dm', 'Am', 'A#', 'C', 'Dm', 'Am']",
93,130.0,65,4/4,acoustic_piano,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['C', 'G', 'F', 'C', 'F', 'C', 'F', 'C']",
94,133.0,75,4/4,string_cello,cinematic,cmajor,73,74,standard,8,commu00043.mid,main_melody,"['C', 'F', 'Am', 'G', 'C', 'C', 'F', 'G']",
95,134.0,75,4/4,string_cello,cinematic,cmajor,73,74,standard,8,commu00043.mid,main_melody,"['C', 'Dm', 'Am', 'A#', 'Am', 'A#', 'Am', 'A#']",
96,139.0,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['Em', 'F', 'Em', 'C']",
97,140.0,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['C', 'C', 'Am', 'G']",
98,141.0,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['C', 'C', 'Em', 'G']",
99,142.0,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['Am', 'C', 'F', 'G']",
100,143.0,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['Dm', 'C', 'C', 'C']",
101,144.0,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['C', 'C', 'C', 'G']",
102,145.0,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['Am', 'G', 'C', 'G']",
103,146.0,60,4/4,string_ensemble,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['Em', 'C', 'Em', 'G']",
104,147.0,100,4/4,choir,cinematic,aminor,75,76,standard,8,commu00045.mid,pad,"['D', 'C', 'D', 'Am', 'F', 'G', 'D', 'Am']",
105,148.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00046.mid,accompaniment,"['G', 'Em', 'C', 'D', 'C', 'G', 'Em', 'D']",
106,157.0,45,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00048.mid,accompaniment,"['G', 'C', 'G', 'C', 'Em', 'D', 'C', 'C']",
107,158.0,60,4/4,acoustic_piano,cinematic,aminor,51,52,standard,4,commu00049.mid,riff,"['Am', 'Am', 'F', 'E']",
108,159.0,110,4/4,string_ensemble,cinematic,cmajor,95,96,standard,8,commu00050.mid,bass,"['Gm', 'C', 'Gm', 'C', 'Gm', 'C', 'D', 'D']",
109,160.0,35,4/4,acoustic_piano,newage,cmajor,23,30,standard,4,commu00051.mid,main_melody,"['F', 'C', 'C', 'A#']",
110,161.0,35,4/4,acoustic_piano,newage,cmajor,23,30,standard,4,commu00051.mid,main_melody,"['F', 'Am', 'Em', 'A#']",
111,162.0,35,4/4,acoustic_piano,newage,cmajor,23,30,standard,4,commu00051.mid,main_melody,"['C', 'Am', 'C', 'A#']",
112,163.0,35,4/4,acoustic_piano,newage,cmajor,23,30,standard,4,commu00051.mid,main_melody,"['Dm', 'Am', 'F', 'A#']",
113,164.0,35,4/4,acoustic_piano,newage,cmajor,23,30,standard,4,commu00051.mid,main_melody,"['F', 'Am', 'C', 'A#']",
114,166.0,150,4/4,string_ensemble,cinematic,aminor,71,95,standard,7,commu00052.mid,sub_melody,"['Am', 'Am', 'Am', 'Am', 'E', 'E', 'E', 'E']",
115,170.0,150,4/4,string_ensemble,cinematic,aminor,71,95,standard,7,commu00052.mid,sub_melody,"['Am', 'G', 'F', 'F', 'E', 'E', 'E', 'E']",
116,173.0,110,4/4,acoustic_piano,cinematic,aminor,53,62,standard,8,commu00053.mid,accompaniment,"['Am', 'D', 'Am', 'D', 'Am', 'D', 'E', 'E']",
117,174.0,80,4/4,acoustic_piano,newage,cmajor,23,24,standard,8,commu00054.mid,accompaniment,"['C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em']",
118,175.0,65,4/4,acoustic_piano,newage,aminor,34,40,standard,8,commu00055.mid,main_melody,"['F', 'Em', 'F', 'Em', 'F', 'Em', 'F', 'C']",
119,176.0,65,4/4,acoustic_piano,newage,aminor,34,40,standard,8,commu00055.mid,main_melody,"['Am', 'Em', 'F', 'Em', 'F', 'Em', 'F', 'C']",
120,177.0,65,4/4,acoustic_piano,newage,aminor,34,40,standard,8,commu00055.mid,main_melody,"['Am', 'G', 'F', 'C', 'F', 'G', 'F', 'C']",
121,180.0,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['Am', 'G', 'F', 'F', 'Am', 'Em', 'F', 'Em']",
122,181.0,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['C', 'F', 'Am', 'F', 'Am', 'Em', 'F', 'Em']",
123,182.0,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['C', 'F', 'C', 'F', 'Am', 'G', 'F', 'G']",
124,183.0,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['Am', 'C', 'F', 'F', 'Am', 'Em', 'F', 'Em']",
125,184.0,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['C', 'Dm', 'Am', 'F', 'Am', 'Em', 'F', 'Em']",
126,185.0,80,4/4,acoustic_piano,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['Am', 'F', 'C', 'F', 'Am', 'G', 'F', 'G']",
127,186.0,65,4/4,acoustic_piano,newage,cmajor,24,28,standard,4,commu00057.mid,accompaniment,"['F', 'C', 'G#', 'F']",
128,187.0,80,4/4,acoustic_piano,newage,cmajor,22,30,standard,4,commu00058_0_sample0.mid,accompaniment,"['C', 'Am', 'F', 'G']",
129,188.0,120,4/4,string_ensemble,cinematic,aminor,121,127,standard,4,commu00059_0_sample0.mid,riff,"['C', 'F', 'C', 'G']",
130,190.0,110,4/4,celesta,cinematic,aminor,71,72,triplet,8,commu00060.mid,main_melody,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'D']",
131,192.0,120,4/4,acoustic_piano,cinematic,aminor,53,62,standard,4,commu00061.mid,riff,"['Em', 'Am', 'Em', 'D']",
132,193.0,150,4/4,string_violin,cinematic,aminor,121,122,standard,8,commu00062.mid,riff,"['Am', 'Am', 'E', 'E', 'F', 'F', 'E', 'E']",
133,201.0,120,4/4,string_ensemble,cinematic,cmajor,111,114,standard,8,commu00064.mid,accompaniment,"['Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'G']",
134,202.0,110,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00065.mid,main_melody,"['F', 'E', 'Am', 'E', 'Am', 'E', 'F', 'E']",
135,203.0,110,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00065.mid,main_melody,"['F', 'E', 'Dm', 'E', 'Dm', 'E', 'F', 'E']",
136,205.0,110,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00065.mid,main_melody,"['Dm', 'E', 'F', 'E', 'Dm', 'E', 'F', 'E']",
137,209.0,110,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00065.mid,main_melody,"['Am', 'Em', 'F', 'E', 'Am', 'G', 'F', 'E']",
138,210.0,120,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00066.mid,main_melody,"['Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'G']",
139,212.0,120,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00066.mid,main_melody,"['Dm', 'F', 'C', 'G', 'Am', 'F', 'C', 'G']",
140,213.0,120,4/4,string_ensemble,cinematic,aminor,91,92,standard,8,commu00066.mid,main_melody,"['Em', 'F', 'C', 'G', 'Am', 'F', 'C', 'G']",
141,214.0,120,4/4,string_ensemble,cinematic,cmajor,101,102,standard,4,commu00067_0_sample0.mid,pad,"['Dm', 'F', 'C', 'G']",
142,215.0,35,4/4,acoustic_piano,newage,cmajor,21,22,standard,8,commu00068.mid,main_melody,"['G', 'C', 'G', 'C', 'Em', 'D', 'C', 'C']",
143,216.0,35,4/4,acoustic_piano,newage,cmajor,21,22,standard,8,commu00068.mid,main_melody,"['Dm', 'C', 'G', 'C', 'Em', 'D', 'C', 'C']",
144,217.0,35,4/4,acoustic_piano,newage,cmajor,21,22,standard,8,commu00068.mid,main_melody,"['Am', 'G', 'G', 'C', 'Em', 'D', 'C', 'C']",
145,218.0,35,4/4,acoustic_piano,newage,cmajor,21,22,standard,8,commu00068.mid,main_melody,"['Am', 'C', 'G', 'C', 'Em', 'D', 'C', 'C']",
146,219.0,135,4/4,string_cello,cinematic,cmajor,105,108,standard,8,commu00069.mid,sub_melody,"['F', 'Am', 'Em', 'F', 'C', 'C', 'G', 'G']",
147,220.0,135,4/4,string_cello,cinematic,cmajor,105,108,standard,8,commu00069.mid,sub_melody,"['Am', 'Em', 'F', 'F', 'C', 'C', 'G', 'G']",
148,224.0,135,4/4,string_cello,cinematic,cmajor,105,108,standard,8,commu00069.mid,sub_melody,"['G', 'Am', 'Am', 'G', 'G', 'Em', 'G', 'C']",
149,226.0,135,4/4,string_cello,cinematic,cmajor,105,108,standard,8,commu00069.mid,sub_melody,"['C', 'Em', 'Am', 'Em', 'C', 'G', 'G', 'G']",
150,227.0,135,4/4,string_cello,cinematic,cmajor,105,108,standard,8,commu00069.mid,sub_melody,"['Em', 'Bm', 'C', 'C', 'Em', 'G', 'G', 'G']",
151,228.0,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['C', 'Em', 'Am', 'Em', 'C', 'F', 'Am', 'D', 'Am', 'D', 'E', 'E']",
152,229.0,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['Em', 'Bm', 'C', 'C', 'Em', 'Bm', 'C', 'Bm', 'C', 'Bm', 'C', 'Bm']",
153,230.0,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['B', 'B', 'B', 'B', 'B', 'B', 'F#', 'E', 'E', 'B', 'B', 'G#m']",
154,231.0,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['F', 'Am', 'Em', 'F', 'F', 'Am', 'Em', 'E', 'E', 'E', 'E', 'E']",
155,232.0,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['Gm', 'Dm', 'F', 'C', 'C', 'Am', 'Bm', 'Bm', 'Em', 'A', 'D', 'D']",
156,233.0,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['Am', 'Em', 'F', 'F', 'Am', 'Em', 'F', 'E', 'Am', 'D', 'Dm', 'G']",
157,234.0,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['G', 'Am', 'Am', 'G', 'G', 'Em', 'D', 'E', 'C', 'F#m', 'D', 'Bm']",
158,235.0,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['Bm', 'G', 'E', 'Em', 'D', 'D', 'F#m', 'E', 'A', 'C#m', 'G#m', 'A']",
159,236.0,110,4/4,harp,cinematic,aminor,84,114,standard,9,commu00070.mid,sub_melody,"['C', 'F', 'Am', 'Am', 'Em', 'F', 'Em', 'E', 'Am', 'D', 'Dm', 'G']",
160,237.0,120,4/4,acoustic_piano,cinematic,aminor,59,60,standard,8,commu00071.mid,riff,"['C', 'C', 'C', 'F', 'Am', 'Am', 'G', 'G']",
161,238.0,100,4/4,acoustic_piano,newage,aminor,51,52,standard,4,commu00072.mid,accompaniment,"['C', 'Bm', 'C', 'Bm']",
162,239.0,110,4/4,acoustic_piano,cinematic,aminor,81,96,standard,8,commu00073.mid,accompaniment,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']",
163,240.0,135,4/4,string_viola,cinematic,cmajor,105,106,standard,8,commu00074.mid,riff,"['C', 'G', 'Am', 'F', 'C', 'Em', 'Am', 'F']",
164,241.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00075.mid,main_melody,"['C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G']",
165,242.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00075.mid,main_melody,"['C', 'Dm', 'Am', 'A#', 'Am', 'A#', 'Am', 'A#']",
166,243.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00075.mid,main_melody,"['Am', 'Dm', 'C', 'G', 'Am', 'Dm', 'Am', 'G']",
167,245.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00075.mid,main_melody,"['Am', 'Em', 'C', 'G', 'Am', 'Dm', 'Am', 'G']",
