,bpm,time_signature,instrument,genre,key,min_vel,max_vel,rhythm,num_measures,file_name,track_role,chord_progression
70,65,4/4,0,newage,cmajor,34,40,standard,8,commu00042.mid,main_melody,"['C', 'G', 'F', 'C', 'F', 'C', 'F', 'C']"
71,75,4/4,42,cinematic,cmajor,73,74,standard,8,commu00043.mid,main_melody,"['C', 'F', 'Am', 'G', 'C', 'C', 'F', 'G']"
72,60,4/4,48,cinematic,cmajor,18,58,standard,4,commu00044.mid,main_melody,"['C', 'C', 'C', 'G']"
25,100,4/4,52,cinematic,aminor,75,76,standard,8,commu00045.mid,pad,"['D', 'C', 'D', 'Am', 'F', 'G', 'D', 'Am']"
26,80,4/4,0,newage,cmajor,23,30,standard,8,commu00046.mid,accompaniment,"['G', 'Em', 'C', 'D', 'C', 'G', 'Em', 'D']"
73,150,4/4,61,cinematic,aminor,70,112,standard,8,commu00047.mid,sub_melody,"['Am', 'Am', 'G', 'G', 'F', 'Am', 'Am', 'A#']"
27,45,4/4,0,newage,cmajor,23,30,standard,8,commu00048.mid,accompaniment,"['G', 'C', 'G', 'C', 'Em', 'D', 'C', 'C']"
28,60,4/4,0,cinematic,aminor,51,52,standard,4,commu00049.mid,riff,"['Am', 'Am', 'F', 'E']"
98,110,4/4,48,cinematic,cmajor,95,96,standard,8,commu00050.mid,bass,"['Gm', 'C', 'Gm', 'C', 'Gm', 'C', 'D', 'D']"
74,35,4/4,0,newage,cmajor,23,30,standard,4,commu00051.mid,main_melody,"['F', 'Am', 'C', 'A#']"
75,150,4/4,48,cinematic,aminor,71,95,standard,7,commu00052.mid,sub_melody,"['Am', 'D', 'Am', 'D', 'E', 'E', 'B', 'B']"
29,110,4/4,0,cinematic,aminor,53,62,standard,8,commu00053.mid,accompaniment,"['Am', 'D', 'Am', 'D', 'Am', 'D', 'E', 'E']"
30,80,4/4,0,newage,cmajor,23,24,standard,8,commu00054.mid,accompaniment,"['C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em']"
76,65,4/4,0,newage,aminor,34,40,standard,8,commu00055.mid,main_melody,"['F', 'Em', 'F', 'Em', 'F', 'Em', 'F', 'C']"
77,80,4/4,0,newage,aminor,22,30,standard,8,commu00056.mid,main_melody,"['C', 'F', 'C', 'F', 'Am', 'G', 'F', 'G']"
31,65,4/4,0,newage,cmajor,24,28,standard,4,commu00057.mid,accompaniment,"['F', 'C', 'G#', 'F']"
32,80,4/4,0,-1,cmajor,22,30,standard,4,commu00058_0_sample0.mid,accompaniment,"['C', 'Am', 'F', 'G']"
33,120,4/4,48,-1,aminor,121,127,standard,4,commu00059_0_sample0.mid,riff,"['C', 'F', 'C', 'G']"
78,110,4/4,8,cinematic,aminor,71,72,triplet,8,commu00060.mid,main_melody,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'D']"
34,120,4/4,0,cinematic,aminor,53,62,standard,4,commu00061.mid,riff,"['Em', 'Am', 'Em', 'D']"
35,150,4/4,40,cinematic,aminor,121,122,standard,8,commu00062.mid,riff,"['Am', 'Am', 'E', 'E', 'F', 'F', 'E', 'E']"
79,110,4/4,48,cinematic,aminor,85,88,standard,9,commu00063.mid,main_melody,"['Am', 'D', 'Am', 'D', 'Am', 'D', 'E', 'E', 'E', 'E', 'E', 'E']"
36,120,4/4,48,cinematic,cmajor,111,114,standard,8,commu00064.mid,accompaniment,"['Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'G']"
80,110,4/4,48,cinematic,aminor,91,92,standard,8,commu00065.mid,main_melody,"['Dm', 'E', 'Dm', 'E', 'Dm', 'E', 'F', 'E']"
81,120,4/4,48,cinematic,aminor,91,92,standard,8,commu00066.mid,main_melody,"['Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'G']"
37,120,4/4,48,-1,cmajor,101,102,standard,4,commu00067_0_sample0.mid,pad,"['Dm', 'F', 'C', 'G']"
82,35,4/4,0,newage,cmajor,21,22,standard,8,commu00068.mid,main_melody,"['G', 'C', 'G', 'C', 'Em', 'D', 'C', 'C']"
83,135,4/4,42,cinematic,cmajor,105,108,standard,8,commu00069.mid,sub_melody,"['B', 'B', 'B', 'B', 'D#', 'D#', 'Cm', 'D#']"
84,110,4/4,46,cinematic,aminor,86,114,standard,9,commu00070.mid,sub_melody,"['B', 'B', 'B', 'B', 'B', 'B', 'F#', 'E', 'E', 'B', 'B', 'G#m']"
38,120,4/4,0,cinematic,aminor,59,60,standard,8,commu00071.mid,riff,"['C', 'C', 'C', 'F', 'Am', 'Am', 'G', 'G']"
39,100,4/4,0,newage,aminor,51,52,standard,4,commu00072.mid,accompaniment,"['C', 'Bm', 'C', 'Bm']"
40,110,4/4,0,cinematic,aminor,81,96,standard,8,commu00073.mid,accompaniment,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']"
41,135,4/4,41,cinematic,cmajor,105,106,standard,8,commu00074.mid,riff,"['C', 'G', 'Am', 'F', 'C', 'Em', 'Am', 'F']"
85,80,4/4,0,newage,cmajor,23,30,standard,8,commu00075.mid,main_melody,"['C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G']"
42,110,4/4,52,cinematic,aminor,45,46,standard,8,commu00076.mid,pad,"['Am', 'E', 'Am', 'E', 'Am', 'E', 'F', 'E']"
86,80,4/4,0,newage,cmajor,21,30,standard,8,commu00077.mid,main_melody,"['G', 'C', 'G', 'C', 'Em', 'D', 'C', 'D']"
87,35,4/4,0,newage,cmajor,21,22,standard,8,commu00078.mid,main_melody,"['C', 'F', 'C', 'F', 'Am', 'G', 'F', 'F']"
43,60,4/4,48,cinematic,aminor,27,28,standard,4,commu00079.mid,pad,"['Am', 'Em', 'F', 'E']"
44,110,4/4,48,cinematic,aminor,85,86,standard,8,commu00080.mid,accompaniment,"['A', 'E', 'Am', 'E', 'Am', 'E', 'F', 'E']"
88,60,4/4,48,cinematic,aminor,21,22,standard,4,commu00081.mid,main_melody,"['Am', 'Em', 'F', 'Em']"
89,105,4/4,71,cinematic,cmajor,99,100,standard,4,commu00082.mid,main_melody,"['C', 'F', 'C', 'F']"
45,100,4/4,0,newage,cmajor,51,52,standard,4,commu00083.mid,accompaniment,"['F', 'Em', 'F', 'Em']"
99,120,4/4,48,-1,cmajor,75,76,standard,4,commu00084_0_sample0.mid,bass,"['Em', 'Em', 'C', 'D']"
90,150,4/4,61,cinematic,cmajor,85,88,standard,8,commu00085.mid,sub_melody,"['G#', 'Fm', 'C', 'C', 'Fm', 'A#m', 'D#', 'A#']"
46,150,4/4,48,cinematic,aminor,111,114,standard,8,commu00086.mid,accompaniment,"['Am', 'Am', 'E', 'E', 'F', 'F', 'E', 'E']"
47,80,4/4,0,newage,cmajor,23,24,standard,8,commu00087.mid,accompaniment,"['F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'C']"
48,120,4/4,48,cinematic,cmajor,115,116,standard,8,commu00088.mid,riff,"['C', 'G', 'Am', 'F', 'C', 'Em', 'Am', 'F']"
91,150,4/4,48,cinematic,cmajor,39,108,standard,8,commu00089.mid,sub_melody,"['Fm', 'C#m', 'C', 'C', 'C#m', 'G#m', 'Em', 'A']"
92,110,4/4,52,cinematic,cmajor,91,92,standard,8,commu00090.mid,sub_melody,"['Gm', 'C', 'Gm', 'C', 'Gm', 'C', 'D', 'D']"
49,150,4/4,48,cinematic,aminor,127,127,standard,7,commu00091.mid,pad,"['Am', 'G', 'G', 'F', 'F', 'E', 'E', 'E']"
93,45,4/4,0,newage,cmajor,21,22,standard,8,commu00092.mid,main_melody,"['G', 'C', 'G', 'C', 'G', 'G', 'C', 'C']"
94,110,4/4,52,cinematic,cmajor,91,98,standard,8,commu00093.mid,sub_melody,"['Dm', 'C', 'D', 'Am', 'Em', 'C', 'G', 'C']"
50,45,4/4,0,newage,cmajor,23,30,standard,8,commu00094.mid,accompaniment,"['G', 'C', 'G', 'C', 'Em', 'D', 'C', 'C']"
51,150,4/4,48,cinematic,cmajor,113,122,standard,8,commu00095.mid,accompaniment,"['Fm', 'Fm', 'C', 'C', 'C#', 'C#', 'C', 'C']"
52,120,4/4,40,-1,aminor,121,122,standard,4,commu00096_0_sample0.mid,riff,"['C', 'Dm', 'Am', 'G']"
95,65,4/4,0,newage,cmajor,33,40,standard,8,commu00097.mid,main_melody,"['A#', 'C', 'Dm', 'Am', 'A#', 'Am', 'A#', 'F']"
53,105,4/4,0,cinematic,cmajor,89,94,standard,4,commu00098.mid,accompaniment,"['C', 'F', 'C', 'F']"
54,120,4/4,48,-1,cmajor,91,92,standard,4,commu00099_0_sample0.mid,pad,"['Em', 'G', 'C', 'D']"
96,65,4/4,0,newage,cmajor,34,40,standard,9,commu00100.mid,main_melody,"['C', 'Em', 'F', 'C', 'Am', 'Em', 'F', 'F', 'Am', 'Em', 'F', 'F']"
